"Number","Date","Length","EndingSlash","ReservedWord","SlashCount","MainContentTag","HighestFreqTagSetS","FrequencyCount","MainContentScore","DepthMainContentinDOMTree","Article"
"false","false","12","false","false","0","div","article","5","0.9915000200271606","10","no"
"false","false","34","false","false","2","div","article","5","1.0070127248764038","10","no"
"false","false","9","false","false","0","div","section","7","0.9919033646583557","8","no"
"false","false","37","false","true","3","div","article","5","1.0060136318206787","10","no"
"true","false","58","false","false","2","div","div","6","0.9930748343467712","7","no"
"false","false","12","false","false","2","div","div","9","0.9939215779304504","7","no"
"true","false","45","false","false","2","ul","li","14","0.9924679398536682","7","no"
"true","false","24","false","false","2","div","div","4","0.9933333396911621","12","no"
"false","false","16","false","false","2","tr","td","7","0.9948599338531494","12","no"
"true","false","33","false","true","3","ul","li","14","0.991138219833374","7","no"
"true","false","67","false","false","2","ul","li","8","1.002785086631775","12","no"
"true","false","32","false","false","3","ul","li","14","0.9907646775245667","7","no"
"true","false","38","false","false","2","div","div","6","0.9928977489471436","7","no"
"false","false","22","false","false","2","div","div","8","0.992881178855896","7","no"
"true","false","57","false","false","2","div","div","6","0.9941340684890747","7","no"
"true","false","36","false","false","2","div","div","6","0.9925885796546936","7","no"
"false","false","27","false","false","3","div","div","4","0.9923704862594604","11","no"
"true","false","37","false","false","2","ul","li","11","1.0081043243408203","12","no"
"true","false","40","false","false","3","div","div","27","0.9963501691818237","7","no"
"false","false","41","false","false","3","div","div","16","0.9936022758483887","7","no"
"false","false","35","true","true","2","section","p","7","1.0277304649353027","8","no"
"false","false","45","true","true","2","ul","li","77","1.0044583082199097","12","no"
"false","false","6","true","true","1","ul","li","9","1.0085844993591309","14","no"
"false","false","57","true","true","2","ul","li","9","1.0107653141021729","14","no"
"false","false","46","true","true","2","ul","li","9","1.0102487802505493","14","no"
"false","false","97","true","true","2","ul","li","9","1.010148525238037","14","no"
"false","false","66","true","true","2","ul","li","9","1.0107653141021729","14","no"
"false","false","34","true","true","2","ul","li","9","1.0108717679977417","14","no"
"false","false","28","true","true","2","ul","li","9","1.0113089084625244","14","no"
"false","false","42","true","true","2","ul","li","9","1.0104522705078125","14","no"
"false","false","27","true","true","2","ul","li","9","1.0108717679977417","14","no"
"false","false","52","true","true","2","ul","li","9","1.0104522705078125","14","no"
"false","false","0","false","false","0","ul","li","9","0.9908730387687683","14","no"
"false","false","42","true","true","2","ul","li","9","1.01065993309021","14","no"
"false","false","32","true","true","2","ul","li","141","0.993093729019165","12","no"
"false","false","61","true","true","2","ul","li","9","1.003257393836975","14","no"
"false","false","15","false","false","1","div","div","28","1.0388177633285522","8","no"
"false","false","20","false","false","1","div","div","12","0.9994367957115173","8","no"
"false","false","16","false","false","1","div","div","12","0.9982241988182068","8","no"
"false","false","15","false","false","1","div","div","12","0.9980641603469849","8","no"
"false","false","14","false","false","1","div","div","12","0.9989097118377686","8","no"
"false","false","15","false","false","1","div","div","66","1.0853312015533447","8","no"
"false","false","14","false","false","1","div","div","12","0.9987555742263794","8","no"
"false","false","12","false","false","1","div","div","77","1.1315910816192627","8","no"
"false","false","13","false","false","1","div","div","48","1.108790397644043","8","no"
"false","false","13","false","false","1","div","div","25","1.0377260446548462","8","no"
"false","false","17","false","false","1","div","div","12","0.9987093210220337","8","no"
"false","false","13","false","false","1","div","div","12","0.999546468257904","8","no"
"false","false","13","false","false","1","div","div","45","1.0891298055648804","8","no"
"false","false","18","false","false","1","div","div","12","0.9993590116500854","8","no"
"false","false","20","false","false","1","div","div","12","0.9984402656555176","8","no"
"false","false","21","false","false","1","div","div","12","0.998785138130188","8","no"
"false","false","78","true","false","5","div","div","11","0.9909147024154663","17","no"
"false","false","44","true","false","5","div","div","27","0.9950268864631653","18","no"
"false","false","80","true","false","5","div","div","25","0.9919289350509644","18","no"
"false","false","71","true","false","5","div","div","11","0.9921092987060547","17","no"
"false","false","43","true","false","5","div","div","82","0.9972320795059204","18","no"
"false","false","82","true","false","5","div","div","36","0.9948156476020813","18","no"
"false","false","75","true","false","5","div","div","27","0.9926363229751587","18","no"
"false","false","64","true","false","5","div","p","2","0.9921829104423523","19","no"
"false","false","8","false","false","0","div","div","12","0.9978039264678955","11","no"
"false","false","5","false","true","0","div","div","30","1.0033178329467773","11","no"
"false","false","4","false","false","0","div","div","3","0.9950085282325745","6","no"
"false","false","8","false","false","0","ul","li","50","0.9949505925178528","9","no"
"false","false","2","false","false","0","ul","li","49","1.0011192560195923","9","no"
"false","false","6","false","false","0","ul","li","46","1.0016188621520996","9","no"
"false","false","6","false","false","0","div","div","12","1.001657485961914","11","no"
"false","false","9","false","false","0","div","div","12","1.0012229681015015","11","no"
"false","false","10","false","false","0","div","div","12","0.9927284717559814","11","no"
"false","false","7","false","false","0","div","div","12","0.9964513778686523","11","no"
"false","false","8","false","false","0","ul","li","50","0.9952121376991272","9","no"
"false","false","9","false","false","0","div","div","12","0.9991476535797119","11","no"
"false","false","2","false","false","0","section","div","17","0.9940735697746277","5","no"
"false","false","14","false","false","0","div","div","12","0.9986306428909302","11","no"
"false","false","13","false","false","0","div","div","12","0.9928858876228333","11","no"
"false","false","13","false","false","0","div","div","12","0.9990476369857788","11","no"
"false","false","8","false","false","0","div","div","127","1.245134949684143","11","no"
"false","false","13","false","false","0","body","div","5","0.9914867877960205","2","no"
"false","false","11","false","false","0","div","ol","17","0.9942198395729065","6","no"
"false","false","2","false","false","0","div","ol","17","0.9931439757347107","6","no"
"false","false","6","false","false","0","div","ol","17","0.9930164813995361","6","no"
"false","false","9","false","false","0","div","ol","17","0.9930012822151184","6","no"
"false","false","6","false","false","0","div","ol","17","0.9910140633583069","6","no"
"false","false","4","false","false","0","div","ol","17","0.9929862022399902","6","no"
"false","false","5","false","false","0","div","ol","17","0.991719663143158","6","no"
"false","false","8","false","false","0","div","ol","17","0.9937421679496765","6","no"
"false","false","6","false","false","0","div","div","11","0.9982095956802368","11","no"
"false","false","6","false","false","0","div","a","10","0.9952791929244995","7","no"
"false","false","8","false","false","0","body","div","5","0.9917835593223572","2","no"
"false","false","5","false","false","0","ul","li","15","1.0132455825805664","14","no"
"false","false","4","false","false","0","div","div","23","1.0146088600158691","11","no"
"false","false","2","false","false","0","div","ol","17","0.9916059374809265","6","no"
"true","false","53","false","false","2","div","p","12","0.9941439032554626","15","no"
"true","false","59","false","false","2","body","div","8","0.9936144948005676","2","no"
"true","false","47","false","false","1","body","div","9","0.9945886135101318","2","no"
"true","false","35","false","false","1","body","meta","7","0.9946246147155762","2","no"
"true","false","62","false","false","2","div","p","16","0.9951895475387573","15","no"
"true","false","76","false","false","2","body","meta","7","0.9969700574874878","2","no"
"true","false","55","false","false","2","body","meta","7","0.9945248365402222","2","no"
"true","false","71","false","false","2","body","meta","7","0.9940561652183533","2","no"
"false","false","8","false","false","0","ul","li","10","0.9909877777099609","8","no"
"false","false","6","false","false","0","ul","li","10","0.9911379814147949","8","no"
"false","false","9","false","false","0","div","div","6","0.991952121257782","3","no"
"false","false","4","false","false","0","div","div","5","0.9921896457672119","3","no"
"false","false","17","false","false","0","div","div","13","1.0046926736831665","6","no"
"false","false","5","false","false","0","div","div","5","0.9937764406204224","3","no"
"false","false","10","false","false","0","ul","li","10","0.9911542534828186","8","no"
"false","false","11","false","true","0","div","div","5","0.9926689863204956","3","no"
"false","false","12","false","false","0","ul","li","10","0.9909040331840515","8","no"
"false","false","6","false","false","0","ul","li","10","0.9912282824516296","8","no"
"false","false","17","false","false","0","div","div","5","0.9937753081321716","3","no"
"false","false","6","false","false","0","div","div","5","0.9939462542533875","3","no"
"false","false","4","false","false","0","ul","li","10","0.9911507368087769","8","no"
"false","false","25","false","false","0","div","div","4","0.99396812915802","3","no"
"false","false","11","false","false","0","ul","li","10","0.9912569522857666","8","no"
"true","false","83","false","false","3","ul","li","19","0.9921587705612183","8","no"
"true","false","90","false","false","3","ul","li","19","0.9922158718109131","8","no"
"true","false","92","false","false","3","ul","li","19","0.9920694231987","8","no"
"false","false","28","false","false","1","div","p","5","0.9925597906112671","14","no"
"true","false","80","false","false","3","ul","li","19","0.9935714602470398","8","no"
"false","false","12","false","false","1","div","div","12","0.9933452010154724","10","no"
"true","false","81","false","false","3","ul","li","19","0.9922001361846924","8","no"
"false","false","23","false","false","2","ul","li","19","0.9998412728309631","8","no"
"false","false","13","false","false","1","ul","li","20","0.9981108903884888","8","no"
"true","false","69","false","false","3","ul","li","19","0.9920680522918701","8","no"
"true","false","79","false","false","3","ul","li","19","0.993087649345398","8","no"
"true","false","81","false","false","3","ul","li","9","0.9920200109481812","13","no"
"false","false","24","false","false","2","ul","li","20","0.9923034310340881","8","no"
"false","false","22","false","false","2","div","p","8","0.9960453510284424","14","no"
"true","false","97","false","false","3","div","p","6","0.9937636256217957","11","no"
"false","false","6","false","false","0","ul","li","23","0.9955220818519592","8","no"
