"Number","BaseUrl","Number","Date","Length","EndingSlash","ReservedWord","SlashCount","Article"
"97","entry/ny-times-climate-change_us_5b62058ce4b0de86f49d7b38","false","false","57","false","false","1","yes"
"98","entry/plastic-pollution-what-you-can-do_us_5b50e369e4b0b15aba8cd8a1","false","false","67","false","false","1","yes"
"99","entry/ryan-zinke-growing-scandals_us_5b5496f2e4b0fd5c73c65990","false","false","61","false","false","1","yes"
"100","entry/trump-epa-california-waiver-automakers_us_5b63110be4b0de86f49eb568","false","false","72","false","false","1","yes"
"101","entry/opinion-gleick-new-york-times-climate-change_us_5b61fafbe4b0b15aba9f3959","false","false","78","false","false","1","yes"
"102","Sports/kansas-city-chiefs-fan-charged-shining-laser-patriots/story?id=62290314","true","false","78","false","false","2","yes"
"103","US/federal-court-blocks-mississippis-fetal-heartbeat-law-taking/story?id=63264206","true","false","81","false","false","2","yes"
"104","US/man-abducted-13-year-jayme-closs-sentenced/story?id=63213591","true","false","63","false","false","2","yes"
"105","US/patrick-frazee-pleads-guilty-murder-fianc-kelsey-berreth/story?id=61503105","true","false","77","false","false","2","yes"
"106","US/year-boy-swept-flooded-creek-indiana-desperate-search/story?id=63252005","true","false","74","false","false","2","yes"
"107","International/wireStory/yemens-president-letter-chief-criticizes-envoy-63250123","true","false","79","false","false","2","yes"
"108","US/stormy-weather-awaits-plains-midwest-memorial-day-weekend/story?id=63249834","true","false","78","false","false","2","yes"
"109","US/oregon-state-college-student-falls-death-cliff-taking/story?id=63246641","true","false","74","false","false","2","yes"
"110","Sports/family-member-extort-nfl-star-tyrann-mathieu-million/story?id=63193064","true","false","77","false","false","2","yes"
"111","Politics/house-judiciary-chairman-jerry-nadler-appears-faint-york/story?id=63258876","true","false","83","false","false","2","yes"
"112","US/beverage-magnate-pleaded-guilty-college-admissions-scandal-assaulted/story?id=63255490","true","false","89","false","false","2","yes"
"113","Politics/trump-administration-rolls-back-obama-era-protection-transgender/story?id=63254875","true","false","91","false","false","2","yes"
"114","Politics/family-separations-occur-times-day-acting-homeland-security/story?id=63236385","true","false","86","false","false","2","yes"
"115","US/missouri-governor-signs-sweeping-abortion-bill-week-ban/story?id=63256446","true","false","76","false","false","2","yes"
"116","International/wireStory/afghan-police-official-blast-kabul-mosque-kills-63249530","true","false","80","false","false","2","yes"
"117","Sports/tiger-woods-named-wrongful-death-lawsuit-family-man/story?id=63037526","true","false","76","false","false","2","yes"
"118","Sports/us-soccer-fires-back-lawsuit-womens-team-obligations/story?id=62880911","true","false","77","false","false","2","yes"
"119","2019/05/23/politics/robocalls-congress-bill-passed/index.html","false","true","61","false","false","5","yes"
"120","2019/05/21/health/climate-change-sea-levels-scn-intl/index.html","false","true","63","false","false","5","yes"
"121","2019/05/12/middleeast/mina-mangal-killed-kabul-intl/index.html","false","true","62","false","false","5","yes"
"122","2019/05/21/health/vienna-beef-hot-dog-recall-usda-trnd-bn/index.html","false","true","68","false","false","5","yes"
"123","2018/11/05/health/national-health-service-prevention-not-cure-intl/index.html","false","true","77","false","false","5","yes"
"124","2019/05/15/health/philadelphia-soda-tax-sales-decrease/index.html","false","true","65","false","false","5","yes"
"125","2019/05/21/health/judge-approves-west-point-cadet-order/index.html","false","true","66","false","false","5","yes"
"126","2019/05/24/asia/everest-climbers-intl/index.html","false","true","48","false","false","5","yes"
"127","2019/05/21/asia/japan-name-abe-shinzo-intl/index.html","false","true","53","false","false","5","yes"
"128","2019/05/21/health/iyw-custodian-day-trnd/index.html","false","true","51","false","false","5","yes"
"129","2019/05/13/africa/where-is-kenyatta-intl/index.html","false","true","51","false","false","5","yes"
"130","2019/05/03/asia/elderly-australian-couple-meth-haul-intl-trnd/index.html","false","true","72","false","false","5","yes"
"131","2019/05/17/africa/germany-to-return-namibia-art-scli-intl/index.html","false","true","68","false","false","5","yes"
"132","style/article/australia-indigenous-language-coin-intl/index.html","false","false","64","false","false","3","yes"
"133","2019/05/24/asia/child-sex-offenders-intl/index.html","false","true","51","false","false","5","yes"
"134","2019/05/24/us/florida-wildfire-i95/index.html","false","true","45","false","false","5","yes"
"135","2019/05/24/us/vietnam-veteran-memorial-vandalism/index.html","false","true","59","false","false","5","yes"
"136","2017/9/7/16257412/rehabs-near-me-google-search-scam-florida-treatment-centers","true","true","77","false","false","4","yes"
"137","2017/10/10/16447264/prison-hacker-recycled-computer-fraud-ohio-marion-transkiy","true","true","78","false","false","4","yes"
"138","2017/6/13/15782200/one-device-secret-history-iphone-brian-merchant-book-excerpt","true","true","79","false","false","4","yes"
"139","2018/7/9/17546078/woo-audio-wa7-review-headphone-amplifier","true","true","58","false","false","4","yes"
"140","2018/7/25/17607256/boundarys-errant-backpack-review-price-date","true","true","62","false","false","4","yes"
"141","2018/6/25/17492902/meteorite-hunting-authentication-steven-curry-montrose-colorado","true","true","82","false","false","4","yes"
"142","2017/9/14/16290934/india-air-conditioner-cooler-design-climate-change-cept-symphony","true","true","83","false","false","4","yes"
"143","2017/6/13/15782200/one-device-secret-history-iphone-brian-merchant-book-excerpt","true","true","79","false","false","4","yes"
"144","2018/6/28/17507322/best-unlimited-data-plans-verizon-att-tmobile-sprint","true","true","71","false","false","4","yes"
"145","2017/11/6/16610728/2017-new-york-marathon-blind-runner-wearworks-wayband-simon-wheatcroft","true","true","89","false","false","4","yes"
"146","2018/2/1/16956198/ona-brixton-camera-laptop-bag-review","true","true","54","false","false","4","yes"
"147","2018/7/20/17594802/google-home-how-to-delete-conversations-recorded","true","true","67","false","false","4","yes"
"148","2017/11/16/16658358/vape-lobby-vaping-health-risks-nicotine-big-tobacco-marketing","true","true","81","false","false","4","yes"
"149","2017/3/5/14814838/nascar-new-rules-2017-daytona-500-photos-stages","true","true","65","false","true","4","yes"
"150","2018/6/6/17433294/salton-sea-crisis-drying-up-asthma-toxic-dust-pictures","true","true","72","false","true","4","yes"
"151","2018/3/21/17144260/healthcare-medicaid-algorithm-arkansas-cerebral-palsy","true","true","72","false","false","4","yes"
"152","2017/12/11/16748260/brockhampton-boy-band-interview-kevin-abstract-odd-future","true","true","77","false","false","4","yes"
"153","news/world-us-canada-48393721","true","false","29","false","false","1","yes"
"154","news/entertainment-arts-48380605","true","false","32","false","false","1","yes"
"155","news/world-asia-48395241","true","false","24","false","false","1","yes"
"156","news/world-us-canada-48401063","true","false","29","false","false","1","yes"
"157","news/science-environment-48289204","true","false","33","false","false","1","yes"
"158","sport/cycling/48393491","false","false","22","false","false","2","yes"
"159","news/world-europe-48382591","true","false","26","false","false","1","yes"
"160","news/uk-england-hampshire-48397401","true","false","34","false","false","1","yes"
"161","news/health-48349792","true","false","20","false","false","1","yes"
"162","news/science-environment-48387033","true","false","33","false","false","1","yes"
"163","news/uk-england-birmingham-48401641","true","false","35","false","false","1","yes"
"164","news/uk-england-essex-48394281","true","false","30","false","false","1","yes"
"165","news/blogs-trending-48395711","true","false","28","false","false","1","yes"
"166","news/world-us-canada-48402601","true","false","29","false","false","1","yes"
"167","news/business-48405481","true","false","22","false","false","1","yes"
"168","news/entertainment-arts-48309524","true","false","32","false","false","1","yes"
"169","news/world-us-canada-48393665","true","false","29","false","false","1","yes"
